REPORT_NUMBER,OPERATOR_ID,NAME,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,NRC_RPT_NUM,NRC_RPT_DATETIME,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,INJURY_IND,ONSHORE_STATE_ABBREVIATION,ONSHORE_POSTAL_CODE,ONSHORE_CITY_NAME,ONSHORE_COUNTY_NAME,PIPE_FAC_NAME,ITEM_INVOLVED,INSTALLATION_YEAR,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,WATER_CONTAM_IND,OCEAN_SEAWATER_IND,SURFACE_CONTAM_IND,GROUNDWATER_CONTAM_IND,DRINKING_WATER_CONTAM_IND,PRIVATE_WELL_CONTAM_IND,PUBLIC_WATER_CONTAM_IND,AMOUNT_RELEASED,REL_WATER_NAME,COMMODITY_REACHED_HCA,COMMERCIALLY_NAV_IND,HIGH_POP_IND,OTHER_POP_IND,USA_DRINKING_IND,USA_ECOLOGICAL_IND,PRPTY,CAUSE,CAUSE_DETAILS,PREPARER_EMAIL,AUTHORIZER_EMAIL,DOMAIN
20160126,22610,"MAGELLAN PIPELINE COMPANY, LP",3/28/16 14:50,42.53743,-96.3568,1143921,3/28/16 16:25,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",10,,0.07,NO,NO,IA,51108,SIOUX CITY,WOODBURY,SIOUX CITY TERMINAL,"WELD, INCLUDING HEAT-AFFECTED ZONE",1946,NO,YES,YES,YES,NO,,,,,,,,,YES,,YES,,,,86900,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,ken.lybarger@magellanlp.com,ken.lybarger@magellanlp.com,magellanlp.com
20160127,300,"PLAINS PIPELINE, L.P.",3/28/16 8:00,42.20813,-104.51255,1144546,4/5/16 13:30,CRUDE OIL,,61,,61,NO,NO,WY,82212,FORT LARAMIE,GOSHEN,FT LARAMIE,PIPE,1991,NO,YES,NO,YES,NO,,,,,,,,,YES,,,YES,,,69200,CORROSION FAILURE,INTERNAL CORROSION,crcarter@paalp.com,tjmclane@paalp.com,paalp.com
20160124,31672,"CHAPARRAL ENERGY, LLC",3/27/16 8:50,36.4740589,-100.5947114,NRC NOTIFICATION NOT REQUIRED,,CO2 (CARBON DIOXIDE),,83,866,0,NO,NO,TX,79005,Not Within a Municipality,OCHILTREE COUNTY,TEXOK CO2 PIPELINE,PIPE,1968,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,17500,CORROSION FAILURE,EXTERNAL CORROSION,chad.docekal@chaparralenergy.com,keith.tracy@chaparralenergy.com,chaparralenergy.com
20160123,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",3/23/16 19:39,40.265185,-80.259891,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,29,28,0,NO,NO,PA,15301,HOUSTON,WASHINGTON,MAJORSVILLE TO HOUSTON,OTHER,2013,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,30219,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,mcarnes@markwest.com,gregory.floerke@markwest.com,markwest.com
20160120,31618,ENTERPRISE PRODUCTS OPERATING LLC,3/23/16 11:30,30.004722,-94.057583,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,10,,10,NO,NO,TX,77705,BEAUMONT,JEFFERSON COUNTY,BEAUMONT CRUDE TERMINAL,FLANGE,2016,NO,YES,NO,YES,NO,,,,,,,,,YES,,YES,,,,33400,INCORRECT OPERATION,WRONG EQUIPMENT SPECIFIED OR INSTALLED,mjpavlak@eprod.com,mjpavlak@eprod.com,eprod.com
20160113,18092,"SFPP, LP",3/23/16 10:30,38.004227,-122.055465,1143527,3/23/16 10:40,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),2.19,,2.19,NO,NO,CA,94520,CONCORD,CONTRA COSTA,CONCORD STATION,AUXILIARY PIPING (E.G. DRAIN LINES),1956,NO,YES,NO,NO,NO,,,,,,,,,YES,,YES,,YES,YES,25496,CORROSION FAILURE,INTERNAL CORROSION,steve_marositz@kindermorgan.com,buzz_fant@kindermorgan.com,kindermorgan.com
20160112,32147,MARATHON PIPE LINE LLC,3/22/16 6:40,31.166,-90.7764,1143469,3/22/16 14:32,CRUDE OIL,,0.1,,0.1,NO,NO,MS,39645,LIBERTY,AMITE COUNTY ,LIBERTY STATION ,"WELD, INCLUDING HEAT-AFFECTED ZONE",1968,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,429198,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,tjhiggins@marathonpetroleum.com,rwbishop@marathonpetroleum.com,marathonpetroleum.com
20160115,22610,"MAGELLAN PIPELINE COMPANY, LP",3/21/16 19:20,46.9803,-96.88275,1143412,3/21/16 21:05,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),20,,20,NO,NO,ND,58042,HARWOOD,CASS,"ALEXANDRIA-GRAND FORKS #1-6"" PIPELINE",PIPE,1946,NO,YES,YES,YES,NO,,,,,,,,,YES,,,YES,,,654309,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),ken.lybarger@magellanlp.com,ken.lybarger@magellanlp.com,magellanlp.com
20160117,300,"PLAINS PIPELINE, L.P.",3/21/16 10:00,42.20813,-104.51255,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.64,,0.64,NO,NO,WY,82212,FORT LARAMIE,GOSHEN,FT LARAMIE,PIPE,1991,NO,YES,NO,NO,NO,,,,,,,,,YES,,,YES,,,23020,CORROSION FAILURE,INTERNAL CORROSION,crcarter@paalp.com,tjmclane@paalp.com,paalp.com
20160114,31684,PHILLIPS 66 PIPELINE LLC,3/20/16 21:17,33.787393,-102.520163,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,1.34,,1.34,NO,NO,TX,79353,Not Within a Municipality,HOCKLEY,WT-10 / PEP STATION,PUMP,2012,NO,YES,NO,YES,NO,,,,,,,,,NO,,,,,,19400,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,cully.r.farhar@p66.com,m.todd.fuksa@p66.com,p66.com
20160116,39012,"SUMMIT MIDSTREAM PARTNERS, LLC",3/18/16 10:50,48.85108984,-103.0229941,1143560,3/23/16 16:33,CRUDE OIL,,150,,150,NO,NO,ND,58795,Not Within a Municipality,DIVIDE,STAMPEDE LATERAL,OTHER,2016,NO,YES,NO,YES,NO,,,,,,,,,NO,,,,,,520050,OTHER OUTSIDE FORCE DAMAGE,INTENTIONAL DAMAGE,mstratmann@summitmidstream.com,mstratmann@summitmidstream.com,summitmidstream.com
20160096,2552,COLONIAL PIPELINE CO,3/17/16 8:17,32.70464,-88.18612,1143098,3/17/16 13:43,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",1.5,,1.5,NO,NO,AL,35460,EPES,SUMTER,EPES STATION,VALVE,,NO,YES,NO,NO,YES,,YES,,,,,0.31,EPES STATION FACILITY RETENTION POND,YES,,,,,YES,67318,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,kmckay@colpipe.com,dlohoff@colpipe.com,colpipe.com
20160104,31618,ENTERPRISE PRODUCTS OPERATING LLC,3/16/16 1:44,29.701113,-94.967825,1142944,3/16/16 2:33,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),8.3,0,0,NO,NO,TX,77520,BAYTOWN,HARRIS,MONT BELVIEU TO MORGANS POINT LINE #1,VALVE,1992,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,750,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,wnburrell@eprod.com,wnburrell@eprod.com,eprod.com
20160111,31189,BP PIPELINE (NORTH AMERICA) INC.,3/14/16 12:00,41.414332,-87.988991,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.23,,0.23,NO,NO,IL,60442,MANHATTAN,WILL,MANHATTAN TANK FARM,PUMP,1974,NO,YES,NO,NO,NO,,,,,,,,,YES,,YES,,,,13710,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,fitzsl@bp.com,michael.sanders@bp.com,bp.com
20160110,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",3/12/16 14:00,47.68973,-95.41198,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.21,,0.21,NO,NO,MN,56634,CLEARBROOK,CLEARWATER,CLEARBROOK TERMINAL,AUXILIARY PIPING (E.G. DRAIN LINES),1994,NO,NO,NO,NO,NO,,,,,,,,,YES,,,YES,YES,,46528,CORROSION FAILURE,INTERNAL CORROSION,stacy.soine@enbridge.com,ron.carlberg@enbridge.com,enbridge.com
20160109,30755,CITGO PRODUCTS PIPELINE CO,3/11/16 14:30,29.977871,-94.811151,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,0.37,0,0,NO,NO,TX,77575,Not Within a Municipality,LIBERTY COUNTY,LAKEMONT PIPELINE,HOT TAP EQUIPMENT,2000,NO,NO,NO,NO,NO,,,,,,,,,YES,YES,,,YES,,28716,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,rbertr1@citgo.com,tcargil@citgo.com,citgo.com
20160103,39145,ENBRIDGE STORAGE (CUSHING) L.L.C.,3/11/16 8:30,35.9585,-96.75978,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.48,,0.48,NO,NO,OK,74023,CUSHING,PAYNE,CUSHING NORTH TERMINAL,TUBING,2016,NO,YES,NO,NO,NO,,,,,,,,,NO,,,,,,12000,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,stacy.soine@enbridge.com,ron.carlberg@enbridge.com,enbridge.com
20160106,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,3/10/16 20:22,41.187143,-91.70938,1142567,3/11/16 13:37,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,ANHYDROUS AMMONIA,1.74,0,0,NO,NO,IA,52353,Not Within a Municipality,WASHINGTON,AMMONIA WEST LEG,STOPPLE FITTING,2001,NO,YES,NO,YES,NO,,,,,,,,,NO,,,,,,5275,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,dan.tibbits@nustarenergy.com,bill.fogarty@nustarenergy.com,nustarenergy.com
20160108,1845,"BUCKEYE PARTNERS, LP",3/10/16 17:25,40.657443,-73.899931,1142491,3/10/16 18:32,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),2,,0,NO,NO,NY,11212,BROOKLYN,KINGS,NL602LY,PIPE,1965,NO,NO,NO,NO,NO,,,,,,,,,YES,,YES,,,,500119,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,cstrickler@buckeye.com,cpankowski@buckeye.com,buckeye.com
20160107,31957,KINDER MORGAN WINK PIPELINE LLC ,3/9/16 9:15,31.8029,-103.81378,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.24,,0.24,NO,NO,TX,79770,ORLA,REEVES,MASON STATION,PUMP,2015,NO,YES,NO,YES,NO,,,,,,,,,NO,,,,,,9,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,april_zapien@kindermorgan.com,scott_muston@kindermorgan.com,kindermorgan.com
20160105,31174,"SHELL PIPELINE CO., L.P.",3/8/16 22:26,35.529177,-119.808998,1142319,3/9/16 6:44,CRUDE OIL,,0.14,,0.14,NO,NO,CA,93301,Not Within a Municipality,KERN,CARNERAS TANK FARM,TANK/VESSEL,1980,NO,YES,NO,NO,NO,,,,,,,,,NO,,,,,,1000000,CORROSION FAILURE,EXTERNAL CORROSION,richard.klasen@shell.com,deborah.price@shell.com,shell.com
20160102,32109,"ONEOK NGL PIPELINE, LLC",3/7/16 13:15,29.845934,-94.908022,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),4.8,0,0,NO,NO,TX,77580,MT. BELVIEU,CHAMBERS,ONEOK WEST WINFREE STATION,TUBING,2016,NO,NO,NO,NO,NO,,,,,,,,,YES,,,YES,,,225,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,neal.jones@oneok.com,neal.jones@oneok.com,oneok.com
20160092,31618,ENTERPRISE PRODUCTS OPERATING LLC,3/6/16 4:45,32.18726,-94.25998,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),0.2,0,0,NO,NO,TX,75633,CARTHAGE,PANOLA,MONT BELVIEU TO CARTHAGE,TUBING,2014,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,75,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,rlow@eprod.com,rlow@eprod.com,eprod.com
20160101,1845,"BUCKEYE PARTNERS, LP",3/5/16 10:20,40.620667,-75.570108,NRC NOTIFICATION NOT REQUIRED,,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),0.23,,0.23,NO,NO,PA,18104,ALLENTOWN,LEHIGH,GUTHSVILLE JUNCTION,SCRAPER/PIG TRAP,,NO,YES,NO,NO,NO,,,,,,,,,YES,,,,YES,,16800,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,hsandler@buckeye.com,cpankowski@buckeye.com,buckeye.com
20160097,18718,SUNOCO PIPELINE L.P.,3/3/16 9:15,31.79747,-94.14222,NRC NOTIFICATION NOT REQUIRED,,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",0.24,,0,NO,NO,TX,75935,CENTER,SHELBY,CENTER TERMINAL,VALVE,2014,NO,YES,NO,YES,NO,,,,,,,,,YES,,,,YES,,7230,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,tgnardozzi@sunocologistics.com,tgnardozzi@sunocologistics.com,sunocologistics.com
20160074,31618,ENTERPRISE PRODUCTS OPERATING LLC,2/29/16 20:15,30.013719,-94.053796,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,0.2,5,0,NO,NO,TX,77705,BEAUMONT,JEFFERSON,BEAUMONT TERMINAL,TUBING,2013,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,502,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,mjpavlak@eprod.com,mjpavlak@eprod.com,eprod.com
20160095,2552,COLONIAL PIPELINE CO,2/29/16 11:00,33.975062,-83.898977,1141647,2/29/16 14:14,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),13.71,,13.71,NO,NO,GA,30019,UNINCORPORATED GWINNETT COUNTY,GWINNETT,LINE 01,PIPE,1978,NO,YES,YES,NO,NO,,,,,,,,,YES,,YES,,,,847353,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",djohnson2@colpipe.com,jbernhardt@colpipe.com,colpipe.com
20160094,39013,TESORO SOCAL PIPELINE COMPANY LLC,2/28/16 16:33,33.77596,-118.213997,1141590,2/28/16 18:48,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),30,,30,NO,NO,CA,90813,LONG BEACH,LOS ANGELES,T2,AUXILIARY PIPING (E.G. DRAIN LINES),,NO,YES,NO,YES,NO,,,,,,,,,NO,,,,,,6700,INCORRECT OPERATION,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",heidi.j.myers@tsocorp.com,aaron.w.martinez@tsocorp.com,tsocorp.com
20160093,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,2/26/16 18:50,41.258087,-91.792114,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,ANHYDROUS AMMONIA,0.27,0,0,NO,NO,IA,52353,Not Within a Municipality,WASHINGTON,AMMONIA WEST LEG,STOPPLE FITTING,2001,NO,YES,NO,YES,NO,,,,,,,,,NO,,,,,,5011,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,kent.perry@nustarenergy.com,bill.fogarty@nustarenergy.com,nustarenergy.com
20160081,31476,ROSE ROCK MIDSTREAM L.P.,2/24/16 14:10,37.680384,-98.428468,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,238,,238,NO,NO,KS,67068,Not Within a Municipality,KINGMAN,"ARLINGTON JUNCTION TO CUNNINGHAM 12""",PIPE,1934,NO,YES,NO,YES,NO,,,,,,,,,YES,,,,,YES,33380,CORROSION FAILURE,INTERNAL CORROSION,dayoung@semgroupcorp.com,tanderson@semgroupcorp.com,semgroupcorp.com
20160118,39149,IMTT-BAYONNE,2/24/16 10:00,40.6581344,-74.10840926,1141266,2/24/16 14:15,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),0,,0,NO,NO,NJ,7002,BAYONNE,HUDSON,IMTT,TANK/VESSEL,1928,NO,YES,NO,NO,NO,,,,,,,,,NO,,,,,,104000,CORROSION FAILURE,INTERNAL CORROSION,stephenlarsen@imtt.com,stephenlarsen@imtt.com,imtt.com
20160119,39149,IMTT-BAYONNE,2/24/16 10:00,40.65728842,-74.11015157,1141266,2/24/16 14:15,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),0,,0,NO,NO,NJ,7002,BAYONNE,HUDSON,IMTT,TANK/VESSEL,1928,NO,YES,NO,NO,NO,,,,,,,,,NO,,,,,,104000,CORROSION FAILURE,INTERNAL CORROSION,stephenlarsen@imtt.com,stephenlarsen@imtt.com,imtt.com
20160088,3445,DIXIE PIPELINE COMPANY LLC,2/24/16 3:58,30.26667,-93.38114,1141209,2/24/16 4:47,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),4950,0,0,NO,NO,LA,70663,SULPHUR,CALCASIEU,MONT BELVIEU TO APEX (MAINLINE),PIPE,1962,NO,NO,NO,NO,NO,,,,,,,,,YES,,YES,YES,,,593860,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),ewilliams@eprod.com,ewilliams@eprod.com,eprod.com
20160090,14145,"OHIO RIVER VALLEY PIPELINE, LLC",2/23/16 20:58,40.4840972,-81.9952417,1141208,2/24/16 4:55,CRUDE OIL,,150,,125,NO,NO,OH,44637,Not Within a Municipality,HOLMES COUNTY,OHIO RIVER VALLEY SYSTEM,PUMP,,YES,YES,YES,YES,YES,,YES,,,,,50,KILLBUCK CREEK TRIBUTARY,NO,,,,,,1131061,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,cordell.theriot@enlink.com,cordell.theriot@enlink.com,enlink.com
20160085,1845,"BUCKEYE PARTNERS, LP",2/23/16 1:15,39.846715,-75.256348,1141121,2/23/16 2:55,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),4.76,,4.12,NO,NO,NJ,8066,PAULSBORO,GLOUCESTER,PY,PUMP,,NO,YES,NO,NO,NO,,,,,,,,,YES,,YES,YES,,YES,230923,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,hsandler@buckeye.com,cpankowski@buckeye.com,buckeye.com
20160089,31555,KINDER MORGAN CO2 CO. LP,2/22/16 16:00,37.471,-108.7912,NRC NOTIFICATION NOT REQUIRED,,CO2 (CARBON DIOXIDE),,223,3533,0,NO,NO,CO,81321,CORTEZ,MONTEZUMA,YELLOW JACKET VALVE,SCRAPER/PIG TRAP,2015,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,9475,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,april_zapien@kindermorgan.com,scott_muston@kindermorgan.com,kindermorgan.com
20160087,39149,IMTT-BAYONNE,2/22/16 12:25,40.66506,-74.10953,1141179,2/23/16 4:05,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",359,,300,NO,NO,NJ,7002,BAYONNE,HUDSON,IMTT-BAYONNE,PIPE,2015,NO,YES,YES,YES,NO,,,,,,,,,YES,,YES,,,,2637468,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",stephenlarsen@imtt.com,stephenlarsen@imtt.com,imtt.com
20160086,30829,ENTERPRISE CRUDE PIPELINE LLC,2/22/16 11:00,34.2021,-97.49,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.2,,0.2,NO,NO,OK,73438,HEALDTON,CARTER,C158,PIPE,,NO,YES,NO,NO,NO,,,,,,,,,YES,,,YES,,,23000,CORROSION FAILURE,EXTERNAL CORROSION,aaceves@eprod.com,aaceves@eprod.com,eprod.com
20160075,30829,ENTERPRISE CRUDE PIPELINE LLC,2/22/16 7:30,35.940183,-96.745663,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.2,,0.2,NO,NO,OK,74023,CUSHING,LINCOLN,CUSHING EAST TERMINAL,TANK/VESSEL,,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,10515,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,candress@eprod.com,candress@eprod.com,eprod.com
20160084,1845,"BUCKEYE PARTNERS, LP",2/20/16 13:00,40.61154,-74.24035,NRC NOTIFICATION NOT REQUIRED,,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),0.6,,0.6,NO,NO,NJ,7036,LINDEN,UNION,LINDEN STATION,PUMP,1965,NO,YES,NO,NO,NO,,,,,,,,,YES,,YES,,,,10600,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,cstrickler@buckeye.com,cpankowski@buckeye.com,buckeye.com
20160083,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",2/19/16 9:00,40.59064,-74.21945,NRC NOTIFICATION NOT REQUIRED,,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),0.8,,0.8,NO,NO,NJ,7901,CARTERET,MIDDLESEX,CANJ 1201,VALVE,2016,NO,YES,YES,YES,NO,,,,,,,,,NO,,,,,,6000,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,danielle_stephens@kindermorgan.com,danielle_stephens@kindermorgan.com,kindermorgan.com
20160079,31618,ENTERPRISE PRODUCTS OPERATING LLC,2/18/16 19:45,29.7961139,-90.0150778,1141111,2/22/16 18:37,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,0.1,0,0,NO,NO,LA,70037,BELLE CHASE,PLAQUEMINES,YSCLOSKEY PIPELINE,OTHER,1969,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,1,INCORRECT OPERATION,OTHER INCORRECT OPERATION,ngray@eprod.com,ngray@eprod.com,eprod.com
20160082,26085,"PLAINS MARKETING, L.P.",2/17/16 23:35,35.938355,-96.740879,1140674,2/18/16 0:21,CRUDE OIL,,0,,0,NO,NO,OK,74023,CUSHING,LINCOLN,CUSHING TERMINAL,TANK/VESSEL,2002,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,140000,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR NOT RELATED TO EXCAVATION AND NOT DUE TO MOTORIZED VEHICLE/EQUIPMENT DAMAGE,crcarter@paalp.com,tjmclane@paalp.com,paalp.com
20160065,32147,MARATHON PIPE LINE LLC,2/17/16 10:30,39.632574,-87.284057,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.5,,0.5,NO,NO,IN,47874,ROSEDALE,PARKE,MARTINSVILLE - LIMA 22 INCH CRUDE ,PUMP,2015,NO,YES,NO,NO,NO,,,,,,,,,YES,,,YES,,,10509,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,dmshay@marathonpetroleum.com,rwbishop@marathonpetroleum.com,marathonpetroleum.com
20160080,31476,ROSE ROCK MIDSTREAM L.P.,2/16/16 17:35,37.680384,-98.428468,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,15,,15,NO,NO,KS,67068,Not Within a Municipality,KINGMAN,"ARLINGTON JUNCTION TO CUNNINGHAM 12""",PIPE,1934,NO,YES,NO,YES,NO,,,,,,,,,YES,,,,,YES,22750,CORROSION FAILURE,INTERNAL CORROSION,dayoung@semgroupcorp.com,tanderson@semgroupcorp.com,semgroupcorp.com
20160067,22610,"MAGELLAN PIPELINE COMPANY, LP",2/16/16 14:30,43.54566,-96.79346,1140610,2/16/16 15:24,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",31,,31,NO,NO,SD,57107,SIOUX FALLS,MINNEHAHA,SIOUX FALLS TERMINAL ,PUMP,1946,NO,YES,NO,NO,NO,,,,,,,,,YES,,YES,,YES,,278837,NATURAL FORCE DAMAGE,TEMPERATURE,sharron.lillard@magellanlp.com,sharron.lillard@magellanlp.com,magellanlp.com
